Órgão Alvo,Dose Absorvida Total (mGy/Mbq)
Tecido Adiposo,0.106626803534368
Adrenais,0.11760427378675
Alveolar Interticial,0.452762645781588
Cél. Brônquicas Secretoras,0.427032840059181
Cérebro,0.112110439420849
Tecido Mamário,0.177286424442227
Cél. Brônquicas Basais,0.443253698634337
Cél. Brônquicas Secretoras,0.443129793413467
Células Endosteais,0.16350798981523
Células Basais ET1,0.162722920215834
Células Basais ET2,1.07789686716133
Cristalino,0.122160825340557
Vesícula Biliar,0.103297603458188
Coração,0.31029070925812
Rins,0.253689667604418
Cólon,0.0531477488454732
Fígado,0.198942476532732
Linfonodos Extratorácicos,1.87655183511955
Linfonodos Sistêmico,0.481788238422477
Linfonodos Torácicos,7.67166765154436
Músculos,0.155238220621904
Esófago,3.19903806507067
Mucosa Bucal,0.656157839048413
Ovários,0.0514909923973871
Pâncreas,0.103331034539568
Glândula Pituitária,0.217054561147389
Próstata,0
Colon D,0.055447976523282
Medula Vermelha,0.312433630229835
Rectossigmóide,0.058422629488976
Glândulas Salivares,0.81118535504928
Intestino Delgado,0.0717403922938377
Pele,0.0896076906406582
Baço,0.132364978562719
Estômago,0.517198722071242
Testículos,0
Timo,2.7819443615653
Tireoide,587.847395322865
Língua,0.705117614492853
Amígdalas,0.499574839165736
Bexiga urinária,0.0954938137312789
Ureteres,0.050232451514331
Útero,0.0543867396306672
